"UPH_SG","UPH_NM","UPH_CD","area_m","SUBS","area_mine","percent_mine"
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"AREIA INDUSTRIAL",463266.840820312,0
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"AREIA QUARTZOSA",499835.834960938,0
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"ARGILA",98146872.6298828,0.035
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"ARGILA BRANCA",1391943.99121094,0
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"ARGILA P/CER. VERMELH",6251324.38574219,0.002
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"ARGILA REFRATÁRIA",3993460.91967773,0.001
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"ARGILA VERMELHA",920632.389648438,0
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"BRITA DE GRANITO",499205.916992188,0
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"CASCALHO",92140.7783203125,0
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"CAULIM",49881954.78125,0.018
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"CHARNOQUITO",49959201.2175293,0.018
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"DADO NÃO CADASTRADO",63513762.1335449,0.022
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"DIORITO",2100024.65087891,0.001
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"FOSFATO",19565027.5158691,0.007
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"GABRO",165601.927734375,0
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"GNAISSE",16605621.8681641,0.006
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"GRANITO",1472725705.21826,0.521
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"GRANITO P/ REVESTIMENTO",19885523.9020996,0.007
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"GRANODIORITO",755907.524902344,0
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"GRANULITO",7936932.08154297,0.003
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"ILMENITA",28318663.1489258,0.01
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"MIGMATITO",1360015.95068359,0
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"MINÉRIO DE OURO",68921288.1169434,0.024
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"OURO",28516972.4040527,0.01
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"QUARTZO",13000151.3598633,0.005
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"SAIBRO",9512280.25244141,0.003
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"SIENITO",30000343.7939453,0.011
"DOCE 07","BAIXO DOCE",509,2825810954.64673,"TURFA",7262593.68188477,0.003
